Column2,Column3,Column4,Column5,Column6,chla
2014,2,12,36.0156,-0.224,0.016788000000000001
2014,2,21,36.099,0.0156,0.017989000000000002
2014,2,21,36.0469,-0.776,0.019952999999999999
2014,2,26,36.9635,0.1823,0.02138
2014,2,9,35.7969,-0.6198,0.022908999999999999
2014,2,21,35.9219,-0.9219,0.022908999999999999
2014,2,13,35.8906,-0.2865,0.027227000000000001
2014,2,22,36.026,-0.5781,0.027227000000000001
2014,2,21,36.526,0.2552,0.038459
2014,2,21,37.1302,0.9635,0.041209999999999997
2014,2,21,35.7552,-0.6615,0.041209999999999997
2014,2,21,35.8281,-0.6927,0.042658000000000001
2014,2,27,36.3594,0.3698,0.042658000000000001
2014,2,12,35.9531,-0.151,0.044157000000000002
2014,2,12,35.974,-0.1719,0.045709
2014,2,21,36.6615,-0.7135,0.045709
2014,2,26,36.974,0.1927,0.050699000000000001
2014,2,7,35.974,-0.8802,0.052481
2014,2,26,36.9635,0.1927,0.052481
2014,2,12,35.8802,-0.224,0.058209999999999998
2014,2,10,37.026,0.8906,0.060255999999999997
2014,2,26,36.6719,-0.5781,0.060255999999999997
2014,2,1,35.9115,-0.2969,0.062372999999999998
2014,2,10,36.974,0.7656,0.064564999999999997
2014,2,26,36.9635,0.7552,0.064564999999999997
2014,2,9,36.4115,0.6406,0.066834000000000005
2014,2,22,36.3281,0.4635,0.066834000000000005
2014,2,9,36.474,0.651,0.069182999999999995
2014,2,10,36.9635,0.7448,0.069182999999999995
2014,2,11,35.901,-0.5365,0.069182999999999995
2014,2,26,36.9531,0.1927,0.071613999999999997
2014,2,12,35.9323,-0.9844,0.076735999999999999
2014,2,21,36.5885,-0.2135,0.076735999999999999
2014,2,21,35.8385,-0.6823,0.079433000000000004
2014,2,12,36.3802,0.349,0.082224000000000005
2014,2,26,37.0781,0.4427,0.082224000000000005
2014,2,26,35.9115,-0.4323,0.082224000000000005
2014,2,21,35.9531,-0.6823,0.085113999999999995
2014,2,10,35.9427,-0.8073,0.088105000000000003
2014,2,3,35.7656,-0.9219,0.091201000000000004
2014,2,21,36.1406,-0.7135,0.091201000000000004
2014,2,21,35.9531,-0.974,0.091201000000000004
2014,2,26,36.5365,-0.4844,0.091201000000000004
2014,2,26,36.0677,-0.0781,0.091201000000000004
2014,2,27,35.9115,-0.3281,0.091201000000000004
2014,2,20,35.8073,-0.9115,0.094406000000000004
2014,2,26,36.2344,-0.9948,0.094406000000000004
2014,2,4,36.5156,0.5052,0.097724000000000005
2014,2,10,37.2969,0.8177,0.097724000000000005
2014,2,21,36.3385,-0.2031,0.097724000000000005
2014,2,26,36.0573,-0.0781,0.097724000000000005
2014,2,10,37.026,0.6823,0.101158
2014,2,12,36.0365,-0.4948,0.101158
2014,2,21,36.3177,-0.3073,0.101158
2014,2,22,36.0052,-0.151,0.101158
2014,2,27,35.901,-0.724,0.101158
2014,2,27,35.8906,-0.8385,0.101158
2014,2,1,36.5469,0.6927,0.104713
2014,2,4,36.1406,0.0677,0.104713
2014,2,10,37.3073,0.8177,0.104713
2014,2,10,37.3073,0.8281,0.104713
2014,2,10,37.0156,0.8802,0.104713
2014,2,21,36.4427,-0.1094,0.104713
2014,2,21,36.276,0.0781,0.104713
2014,2,26,37.099,0.3281,0.104713
2014,2,7,36.026,-0.026,0.108393
2014,2,10,37.0365,0.6927,0.108393
2014,2,12,36.099,-0.0469,0.108393
2014,2,26,37.0573,0.2656,0.108393
2014,2,10,37.0365,0.7031,0.112202
2014,2,10,37.026,0.6927,0.112202
2014,2,10,37.026,0.7031,0.112202
2014,2,10,37.0156,0.6823,0.112202
2014,2,10,37.0156,0.6927,0.112202
2014,2,11,35.8385,-0.651,0.112202
2014,2,22,36.026,-0.5885,0.112202
2014,2,7,36.0052,-0.0365,0.116145
2014,2,10,35.8802,-0.7031,0.116145
2014,2,10,37.3177,0.8698,0.116145
2014,2,10,37.2969,0.8385,0.116145
2014,2,10,37.2865,0.8281,0.116145
2014,2,10,36.974,0.7552,0.116145
2014,2,11,35.8281,-0.9219,0.116145
2014,2,12,36.0469,-0.349,0.116145
2014,2,12,36.0156,-0.2135,0.116145
2014,2,21,35.9323,-0.9323,0.116145
2014,2,26,36.474,-0.7865,0.116145
2014,2,27,36.3177,-0.6615,0.116145
2014,2,10,37.3073,0.8385,0.120226
2014,2,21,36.026,-0.849,0.120226
2014,2,21,36.1823,-0.4635,0.120226
2014,2,26,36.0781,-0.849,0.120226
2014,2,26,36.5677,-0.2448,0.120226
2014,2,27,36.0885,-0.9844,0.120226
2014,2,10,37.3177,0.849,0.12445100000000001
2014,2,10,37.2969,0.8281,0.12445100000000001
2014,2,10,36.974,0.6615,0.12445100000000001
2014,2,12,35.9844,-0.5365,0.12445100000000001
2014,2,12,35.9844,-0.1719,0.12445100000000001
2014,2,12,35.974,-0.1615,0.12445100000000001
2014,2,21,36.099,-0.9115,0.12445100000000001
2014,2,26,36.6302,-0.4844,0.12445100000000001
2014,2,26,36.5469,-0.4219,0.12445100000000001
2014,2,27,36.3073,-0.6615,0.12445100000000001
2014,2,10,37.3281,0.8594,0.128825
2014,2,10,37.3177,0.8385,0.128825
2014,2,10,37.3073,0.8594,0.128825
2014,2,10,37.2865,0.8177,0.128825
2014,2,10,37.026,0.8698,0.128825
2014,2,10,37.026,0.8802,0.128825
2014,2,12,36.0573,-0.276,0.128825
2014,2,12,36.0365,-0.1198,0.128825
2014,2,21,35.9219,-0.9323,0.128825
2014,2,22,36.5469,0.474,0.128825
2014,2,27,36.6615,-0.4635,0.128825
2014,2,1,37.0885,0.4115,0.133352
2014,2,4,35.8906,-0.9427,0.133352
2014,2,10,37.3177,0.8594,0.133352
2014,2,10,37.0365,0.7135,0.133352
2014,2,10,37.026,0.7135,0.133352
2014,2,10,37.0156,0.7031,0.133352
2014,2,12,35.8594,-0.776,0.133352
2014,2,21,36.0052,-0.8698,0.133352
2014,2,21,35.8906,-0.9844,0.133352
2014,2,21,36.5052,0.9323,0.133352
2014,2,22,36.0052,-0.1927,0.133352
2014,2,26,36.4219,-0.9948,0.133352
2014,2,26,35.9427,-0.6719,0.133352
2014,2,26,36.974,0.7552,0.133352
2014,2,26,36.9635,0.7656,0.133352
2014,2,27,36.7344,-0.5781,0.133352
2014,2,27,36.4115,0.3802,0.133352
2014,2,2,36.026,-0.3698,0.13803799999999999
2014,2,2,36.0156,-0.4323,0.13803799999999999
2014,2,2,35.901,-0.6302,0.13803799999999999
2014,2,10,37.0365,0.8385,0.13803799999999999
2014,2,10,37.0365,0.8802,0.13803799999999999
2014,2,10,37.0052,0.6927,0.13803799999999999
2014,2,10,37.0052,0.7031,0.13803799999999999
2014,2,10,36.9948,0.6823,0.13803799999999999
2014,2,10,36.9844,0.6927,0.13803799999999999
2014,2,12,36.0781,-0.3281,0.13803799999999999
2014,2,21,36.1823,-0.026,0.13803799999999999
2014,2,3,35.776,-0.9115,0.14288899999999999
2014,2,4,36.5677,0.7344,0.14288899999999999
2014,2,9,36.4427,0.651,0.14288899999999999
2014,2,10,37.026,0.7344,0.14288899999999999
2014,2,10,37.0156,0.7135,0.14288899999999999
2014,2,10,36.9844,0.6719,0.14288899999999999
2014,2,10,36.9844,0.6823,0.14288899999999999
2014,2,10,36.974,0.6927,0.14288899999999999
2014,2,10,36.9635,0.7344,0.14288899999999999
2014,2,21,36.2552,-0.2552,0.14288899999999999
2014,2,21,36.1823,-0.4844,0.14288899999999999
2014,2,26,37.151,0.401,0.14288899999999999
2014,2,26,36.974,0.7656,0.14288899999999999
2014,2,26,36.5677,-0.2031,0.14288899999999999
2014,2,27,37.0052,0.0156,0.14288899999999999
2014,2,10,37.3281,0.849,0.14791099999999999
2014,2,10,37.026,0.724,0.14791099999999999
2014,2,10,37.0156,0.8073,0.14791099999999999
2014,2,10,36.9948,0.7969,0.14791099999999999
2014,2,10,36.7656,0.4948,0.14791099999999999
2014,2,12,35.9323,-0.9948,0.14791099999999999
2014,2,21,36.5365,0.9948,0.14791099999999999
2014,2,21,36.1302,0.026,0.14791099999999999
2014,2,21,35.9531,-0.0573,0.14791099999999999
2014,2,21,35.8802,-0.2344,0.14791099999999999
2014,2,21,35.849,-0.6615,0.14791099999999999
2014,2,22,36.026,-0.5677,0.14791099999999999
2014,2,26,35.901,-0.4323,0.14791099999999999
2014,2,27,36.3385,-0.6615,0.14791099999999999
2014,2,2,36.0365,-0.3594,0.153109
2014,2,4,35.9427,-0.6406,0.153109
2014,2,10,37.3073,0.849,0.153109
2014,2,10,37.0156,0.8385,0.153109
2014,2,10,36.9948,0.6927,0.153109
2014,2,10,36.9948,0.7031,0.153109
2014,2,10,36.9844,0.7552,0.153109
2014,2,10,36.974,0.6719,0.153109
2014,2,10,36.9531,0.6615,0.153109
2014,2,10,36.7448,0.4635,0.153109
2014,2,21,36.5885,-0.2552,0.153109
2014,2,21,36.1094,0.0156,0.153109
2014,2,21,35.8281,-0.6094,0.153109
2014,2,22,36.0365,-0.599,0.153109
2014,2,22,36.0052,-0.2656,0.153109
2014,2,1,37.1094,0.4323,0.15848899999999999
2014,2,2,35.7865,-0.9948,0.15848899999999999
2014,2,2,35.776,-0.9948,0.15848899999999999
2014,2,2,36.5573,-0.2865,0.15848899999999999
2014,2,2,36.2135,-0.5469,0.15848899999999999
2014,2,9,35.7969,-0.6302,0.15848899999999999
2014,2,10,37.0156,0.724,0.15848899999999999
2014,2,10,37.0156,0.8698,0.15848899999999999
2014,2,10,36.974,0.6823,0.15848899999999999
2014,2,10,36.974,0.7448,0.15848899999999999
2014,2,10,36.7969,0.5365,0.15848899999999999
2014,2,12,35.9427,-0.9948,0.15848899999999999
2014,2,12,35.901,-0.6719,0.15848899999999999
2014,2,12,36.1302,0.0052,0.15848899999999999
2014,2,12,36.0365,-0.3698,0.15848899999999999
2014,2,12,35.974,-0.3802,0.15848899999999999
2014,2,21,36.026,-0.8385,0.15848899999999999
2014,2,21,36.1615,-0.1615,0.15848899999999999
2014,2,21,35.8906,-0.224,0.15848899999999999
2014,2,22,35.776,-0.599,0.15848899999999999
2014,2,26,37.0781,0.4531,0.15848899999999999
2014,2,26,36.6823,-0.1719,0.15848899999999999
2014,2,27,36.3802,0.3698,0.15848899999999999
2014,2,1,37.0885,0.401,0.16405900000000001
2014,2,2,36.5885,-0.9219,0.16405900000000001
2014,2,4,36.5365,0.8385,0.16405900000000001
2014,2,9,36.4531,0.6406,0.16405900000000001
2014,2,10,37.0365,0.8073,0.16405900000000001
2014,2,10,37.026,0.8281,0.16405900000000001
2014,2,10,37.0156,0.8594,0.16405900000000001
2014,2,10,36.9948,0.7135,0.16405900000000001
2014,2,10,36.9635,0.6615,0.16405900000000001
2014,2,10,36.9427,0.6406,0.16405900000000001
2014,2,10,36.9219,0.6198,0.16405900000000001
2014,2,11,35.849,-0.8177,0.16405900000000001
2014,2,11,35.8906,-0.651,0.16405900000000001
2014,2,12,35.901,-0.6927,0.16405900000000001
2014,2,12,35.8698,-0.8073,0.16405900000000001
2014,2,12,35.8594,-0.7656,0.16405900000000001
2014,2,12,36.276,-0.651,0.16405900000000001
2014,2,12,36.0052,-0.4115,0.16405900000000001
2014,2,12,35.974,-0.3906,0.16405900000000001
2014,2,12,35.9531,-0.1615,0.16405900000000001
2014,2,21,36.3073,-0.276,0.16405900000000001
2014,2,21,35.8073,-0.651,0.16405900000000001
2014,2,22,36.4844,0.4635,0.16405900000000001
2014,2,22,35.9948,-0.1719,0.16405900000000001
2014,2,22,35.7656,-0.6094,0.16405900000000001
2014,2,26,37.151,0.4219,0.16405900000000001
2014,2,26,36.9844,0.7656,0.16405900000000001
2014,2,1,35.9219,-0.7969,0.169824
2014,2,2,36.3594,0.2448,0.169824
2014,2,4,36.724,-0.026,0.169824
2014,2,4,36.5156,0.8906,0.169824
2014,2,4,36.4531,0.3802,0.169824
2014,2,9,36.5469,0.7969,0.169824
2014,2,10,37.0365,0.8281,0.169824
2014,2,10,37.026,0.7552,0.169824
2014,2,10,37.0156,0.8177,0.169824
2014,2,10,37.0052,0.724,0.169824
2014,2,10,37.0052,0.8073,0.169824
2014,2,10,37.0052,0.8281,0.169824
2014,2,10,36.9635,0.6823,0.169824
2014,2,10,36.9115,0.6198,0.169824
2014,2,11,35.849,-0.7031,0.169824
2014,2,12,35.9115,-0.7344,0.169824
2014,2,12,35.9115,-0.724,0.169824
2014,2,12,35.8594,-0.7448,0.169824
2014,2,12,36.0469,-0.3698,0.169824
2014,2,12,36.026,-0.349,0.169824
2014,2,12,35.9531,-0.4844,0.169824
2014,2,12,35.9531,-0.1406,0.169824
2014,2,12,35.8385,-0.6198,0.169824
2014,2,20,36.6094,0.9427,0.169824
2014,2,21,36.3281,-0.8281,0.169824
2014,2,21,36.474,0.9115,0.169824
2014,2,22,36.599,0.3385,0.169824
2014,2,22,36.026,-0.4948,0.169824
2014,2,22,35.776,-0.6198,0.169824
2014,2,22,35.7656,-0.6198,0.169824
2014,2,26,37.0677,0.2344,0.169824
2014,2,26,36.7865,-0.1927,0.169824
2014,2,27,36.3385,-0.5573,0.169824
2014,2,27,36.2865,-0.6615,0.169824
2014,2,1,37.1094,0.4427,0.175792
2014,2,2,36.5469,-0.1823,0.175792
2014,2,2,36.2656,-0.0781,0.175792
2014,2,2,36.0365,-0.3698,0.175792
2014,2,4,36.5677,0.7448,0.175792
2014,2,4,36.5677,0.776,0.175792
2014,2,9,36.4323,0.651,0.175792
2014,2,9,36.4323,0.6615,0.175792
2014,2,10,37.0365,0.7865,0.175792
2014,2,10,37.0365,0.7969,0.175792
2014,2,10,37.0365,0.8594,0.175792
2014,2,10,37.026,0.7448,0.175792
2014,2,10,37.026,0.7969,0.175792
2014,2,10,37.026,0.8073,0.175792
2014,2,10,37.0156,0.8281,0.175792
2014,2,10,37.0052,0.7969,0.175792
2014,2,10,36.9948,0.8073,0.175792
2014,2,10,36.9844,0.7031,0.175792
2014,2,10,36.974,0.724,0.175792
2014,2,10,36.9635,0.6719,0.175792
2014,2,10,36.7865,0.9948,0.175792
2014,2,11,35.849,-0.8281,0.175792
2014,2,12,35.9323,-0.974,0.175792
2014,2,12,35.9219,-0.9531,0.175792
2014,2,12,35.901,-0.8802,0.175792
2014,2,12,35.8698,-0.6927,0.175792
2014,2,12,35.8594,-0.6823,0.175792
2014,2,12,36.0885,-0.0885,0.175792
2014,2,12,36.0469,-0.3594,0.175792
2014,2,12,36.0365,-0.5052,0.175792
2014,2,12,35.9427,-0.6094,0.175792
2014,2,12,35.9427,-0.151,0.175792
2014,2,13,36.1302,-0.0573,0.175792
2014,2,20,36.0469,0.026,0.175792
2014,2,21,36.1823,-0.6927,0.175792
2014,2,21,35.9531,-0.9948,0.175792
2014,2,21,35.9531,-0.9844,0.175792
2014,2,21,35.8594,-0.9948,0.175792
