year1,m1,d1,average
2020,1,1,2.692
2020,1,2,2.786
2020,1,3,2.113
2020,1,4,2.265
2020,1,5,2.188
2020,1,6,3.199
2020,1,7,3.199
2020,1,8,3.199
2020,1,9,2.884
2020,1,10,2.884
2020,1,11,3.199
2020,1,12,3.09
2020,1,13,3.311
2020,1,14,3.548
2020,1,15,3.548
2020,1,16,3.548
2020,1,17,3.802
2020,1,18,3.936
2020,1,19,3.311
2020,1,20,3.548
2020,1,21,3.311
2020,1,22,3.09
2020,1,23,3.311
2020,1,24,3.09
2020,1,25,3.428
2020,1,26,3.428
2020,1,27,3.548
2020,1,28,3.311
2020,1,29,3.311
2020,1,30,3.311
2020,1,31,3.311
2020,2,1,3.311
2020,2,2,2.265
2020,2,3,2.265
2020,2,4,2.344
2020,2,5,2.786
2020,2,6,2.786
2020,2,7,2.786
2020,2,8,2.884
2020,2,9,2.786
2020,2,10,3.09
2020,2,11,4.074
2020,2,12,4.074
2020,2,13,2.985
2020,2,14,2.692
2020,2,15,2.985
2020,2,16,3.311
2020,2,17,3.311
2020,2,18,3.09
2020,2,19,3.199
2020,2,20,3.199
2020,2,21,3.311
2020,2,22,3.199
2020,2,23,2.692
2020,2,24,2.427
2020,2,25,2.427
2020,2,26,2.512
2020,2,27,2.512
2020,2,28,3.428
2020,2,29,3.428
2020,3,1,2.512
2020,3,2,2.427
2020,3,3,1.972
2020,3,4,2.042
2020,3,5,2.042
2020,3,6,2.042
2020,3,7,2.344
2020,3,8,2.344
2020,3,9,2.042
2020,3,10,2.042
2020,3,11,1.972
2020,3,12,2.512
2020,3,13,3.936
2020,3,14,1.972
2020,3,15,2.042
2020,3,16,2.042
2020,3,17,2.113
2020,3,18,2.427
2020,3,19,2.427
2020,3,20,2.427
2020,3,21,2.692
2020,3,22,2.113
2020,3,23,1.603
2020,3,24,1.972
2020,3,25,2.985
2020,3,26,4.677
2020,3,27,5.957
2020,3,28,5.37
2020,3,29,4.217
2020,3,30,3.673
2020,3,31,4.842
2020,4,1,5.012
2020,4,2,3.199
2020,4,3,3.428
2020,4,4,4.519
2020,4,5,4.074
2020,4,6,4.074
2020,4,7,3.311
2020,4,8,3.802
2020,4,9,2.985
2020,4,10,3.802
2020,4,11,4.074
2020,4,12,3.673
2020,4,13,3.936
2020,4,14,3.311
2020,4,15,3.936
2020,4,16,5.188
2020,4,17,4.842
2020,4,18,5.754
2020,4,19,4.677
2020,4,20,4.519
2020,4,21,4.074
2020,4,22,4.677
2020,4,23,5.37
2020,4,24,5.37
2020,4,25,4.842
2020,4,26,4.842
2020,4,27,3.936
2020,4,28,6.607
2020,4,29,5.188
2020,4,30,5.559
2020,5,1,3.548
2020,5,2,4.074
2020,5,3,1.496
2020,5,4,3.548
2020,5,5,6.166
2020,5,6,5.012
2020,5,7,4.519
2020,5,8,5.012
2020,5,9,2.884
2020,5,10,3.548
2020,5,11,4.519
2020,5,12,2.512
2020,5,13,4.677
2020,5,14,5.559
2020,5,15,5.37
2020,5,16,2.265
2020,5,17,3.936
2020,5,18,3.936
2020,5,19,3.311
2020,5,20,2.884
2020,5,21,4.519
2020,5,22,4.365
2020,5,23,2.042
2020,5,24,2.985
2020,5,25,2.985
2020,5,26,3.311
2020,5,27,4.217
2020,5,28,4.217
2020,5,29,5.37
2020,5,30,4.842
2020,5,31,5.559
2020,6,1,6.383
2020,6,2,7.079
2020,6,3,2.786
2020,6,4,2.344
2020,6,5,3.802
2020,6,6,2.786
2020,6,7,1.972
2020,6,8,2.188
2020,6,9,2.985
2020,6,10,1.175
2020,6,11,1.023
2020,6,12,2.113
2020,6,13,2.786
2020,6,14,2.427
2020,6,15,2.692
2020,6,16,3.311
2020,6,17,3.548
2020,6,18,3.548
2020,6,19,3.548
2020,6,20,4.677
2020,6,21,4.074
2020,6,22,3.199
2020,6,23,3.311
2020,6,24,3.199
2020,6,25,3.802
2020,6,26,4.074
2020,6,27,4.677
2020,6,28,2.265
2020,6,29,1.175
2020,6,30,0.923
2020,7,1,1.905
2020,7,2,4.365
2020,7,3,4.519
2020,7,4,3.09
2020,7,5,2.113
2020,7,6,3.936
2020,7,7,5.559
2020,7,8,3.428
2020,7,9,3.428
2020,7,10,2.113
2020,7,11,2.786
2020,7,12,3.548
2020,7,13,4.074
2020,7,14,3.936
2020,7,15,7.328
2020,7,16,9.661
2020,7,17,4.217
2020,7,18,9.333
2020,7,19,3.09
2020,7,20,6.166
2020,7,21,4.365
2020,7,22,4.217
2020,7,23,4.217
2020,7,24,3.311
2020,7,25,2.265
2020,7,26,4.074
2020,7,27,4.074
2020,7,28,2.427
2020,7,29,4.519
2020,7,30,6.839
2020,7,31,11.482
2020,8,1,7.328
2020,8,2,8.71
2020,8,3,10.715
2020,8,4,27.227
2020,8,5,11.885
2020,8,6,19.953
2020,8,7,22.909
2020,8,8,7.079
2020,8,9,9.016
2020,8,10,11.885
2020,8,11,14.125
2020,8,12,11.885
2020,8,13,10
2020,8,14,6.383
2020,8,15,5.37
2020,8,16,8.414
2020,8,17,7.586
2020,8,18,5.559
2020,8,19,5.37
2020,8,20,6.839
2020,8,21,6.166
2020,8,22,4.217
2020,8,23,2.6
2020,8,24,2.6
2020,8,25,2.6
2020,8,26,2.512
2020,8,27,3.311
2020,8,28,2.692
2020,8,29,2.042
2020,8,30,1.972
2020,8,31,2.188
2020,9,1,2.6
2020,9,2,3.673
2020,9,3,3.673
2020,9,4,3.428
2020,9,5,3.311
2020,9,6,3.802
2020,9,7,3.428
2020,9,8,1.841
2020,9,9,1.972
2020,9,10,4.074
2020,9,11,2.884
2020,9,12,3.09
2020,9,13,3.199
2020,9,14,2.884
2020,9,15,3.199
2020,9,16,3.311
2020,9,17,3.199
2020,9,18,4.365
2020,9,19,4.677
2020,9,20,4.519
2020,9,21,7.079
2020,9,22,3.311
2020,9,23,2.6
2020,9,24,3.199
2020,9,25,4.217
2020,9,26,4.217
2020,9,27,3.802
2020,9,28,2.427
2020,9,29,2.344
2020,9,30,2.512
2020,10,1,2.344
2020,10,2,2.786
2020,10,3,3.548
2020,10,4,3.199
2020,10,5,3.199
2020,10,6,2.512
2020,10,7,2.188
2020,10,8,2.188
2020,10,9,3.199
2020,10,10,2.512
2020,10,11,2.985
2020,10,12,2.344
2020,10,13,3.199
2020,10,14,3.428
2020,10,15,2.692
2020,10,16,2.042
2020,10,17,4.074
2020,10,18,5.012
2020,10,19,2.265
2020,10,20,2.113
2020,10,21,3.09
2020,10,22,3.09
2020,10,23,3.09
2020,10,24,3.199
2020,10,25,3.199
2020,10,26,2.427
2020,10,27,2.512
2020,10,28,2.985
2020,10,29,2.344
2020,10,30,2.344
2020,10,31,3.936
2020,11,1,3.802
2020,11,2,2.265
2020,11,3,2.512
2020,11,4,3.428
2020,11,5,3.428
2020,11,6,2.344
2020,11,7,2.6
2020,11,8,3.09
2020,11,9,3.199
2020,11,10,3.199
2020,11,11,2.042
2020,11,12,2.042
2020,11,13,2.692
2020,11,14,2.692
2020,11,15,4.519
2020,11,16,3.548
2020,11,17,1.496
2020,11,18,1.496
2020,11,19,1.175
2020,11,20,2.427
2020,11,21,2.427
2020,11,22,4.217
2020,11,23,3.802
2020,11,24,3.428
2020,11,25,11.092
2020,11,26,2.985
2020,11,27,1.603
2020,11,28,1.972
2020,11,29,1.549
2020,11,30,1.66
2020,12,1,1.549
2020,12,2,1.549
2020,12,3,1.445
2020,12,4,1.496
2020,12,5,1.549
2020,12,6,1.549
2020,12,7,1.603
2020,12,8,1.603
2020,12,9,1.603
2020,12,10,1.603
2020,12,11,1.549
2020,12,12,1.66
2020,12,13,1.972
2020,12,14,1.445
2020,12,15,1.549
2020,12,16,1.549
2020,12,17,1.303
2020,12,18,1.135
2020,12,19,1.216
2020,12,20,1.216
2020,12,21,0.955
2020,12,22,0.923
2020,12,23,1.905
2020,12,24,4.217
2020,12,25,4.217
2020,12,26,4.217
2020,12,27,4.217
2020,12,28,4.217
2020,12,29,3.548
2020,12,30,1.66
2020,12,31,1.66
2021,1,1,2.042
2021,1,2,1.905
2021,1,3,1.66
2021,1,4,1.718
2021,1,5,1.718
2021,1,6,2.344
2021,1,7,2.512
2021,1,8,2.512
2021,1,9,1.396
2021,1,10,1.496
2021,1,11,1.778
2021,1,12,1.778
2021,1,13,3.548
2021,1,14,2.188
2021,1,15,1.972
2021,1,16,1.972
2021,1,17,1.841
2021,1,18,2.6
2021,1,19,2.692
2021,1,20,2.692
2021,1,21,2.692
2021,1,22,3.311
2021,1,23,3.09
2021,1,24,1.778
2021,1,25,1.778
2021,1,26,1.972
2021,1,27,1.972
2021,1,28,1.972
2021,1,29,2.427
2021,1,30,2.427
2021,1,31,2.692
2021,2,1,3.09
2021,2,2,3.09
2021,2,3,2.884
2021,2,4,2.985
2021,2,5,2.985
2021,2,6,2.344
2021,2,7,2.113
2021,2,8,2.265
2021,2,9,2.427
2021,2,10,2.344
2021,2,11,2.344
2021,2,12,3.09
2021,2,13,3.09
2021,2,14,2.344
2021,2,15,2.344
2021,2,16,1.66
2021,2,17,1.496
2021,2,18,1.841
2021,2,19,2.113
2021,2,20,2.188
2021,2,21,2.786
2021,2,22,2.786
2021,2,23,3.09
2021,2,24,1.778
2021,2,25,1.778
2021,2,26,1.905
2021,2,27,2.113
2021,2,28,1.905
2021,3,1,1.905
2021,3,2,2.042
2021,3,3,2.265
2021,3,4,2.265
2021,3,5,2.985
2021,3,6,2.512
2021,3,7,2.512
2021,3,8,2.427
2021,3,9,2.427
2021,3,10,2.427
2021,3,11,3.311
2021,3,12,3.311
2021,3,13,2.188
2021,3,14,2.188
2021,3,15,2.042
2021,3,16,2.884
2021,3,17,2.6
2021,3,18,2.985
2021,3,19,2.884
2021,3,20,2.884
2021,3,21,2.692
2021,3,22,2.985
2021,3,23,2.512
2021,3,24,3.311
2021,3,25,3.199
2021,3,26,3.673
2021,3,27,3.199
2021,3,28,3.199
2021,3,29,3.548
2021,3,30,2.6
2021,3,31,3.09
2021,4,1,2.786
2021,4,2,2.344
2021,4,3,5.188
2021,4,4,5.188
2021,4,5,5.957
2021,4,6,7.079
2021,4,7,4.365
2021,4,8,5.012
2021,4,9,5.559
2021,4,10,4.519
2021,4,11,4.519
2021,4,12,4.842
2021,4,13,4.842
2021,4,14,4.842
2021,4,15,3.936
2021,4,16,3.936
2021,4,17,4.519
2021,4,18,4.074
2021,4,19,4.217
2021,4,20,3.673
2021,4,21,4.519
2021,4,22,4.519
2021,4,23,4.519
2021,4,24,4.842
2021,4,25,5.37
2021,4,26,4.217
2021,4,27,4.842
2021,4,28,5.012
2021,4,29,3.09
2021,4,30,1.972
2021,5,1,1.445
2021,5,2,2.042
2021,5,3,2.6
2021,5,4,2.512
2021,5,5,2.692
2021,5,6,3.673
2021,5,7,3.311
2021,5,8,3.311
2021,5,9,3.428
2021,5,10,2.985
2021,5,11,1.972
2021,5,12,2.042
2021,5,13,1.905
2021,5,14,2.042
2021,5,15,1.905
2021,5,16,2.985
2021,5,17,2.692
2021,5,18,2.692
2021,5,19,5.559
2021,5,20,3.802
2021,5,21,3.428
2021,5,22,2.786
2021,5,23,2.985
2021,5,24,2.985
2021,5,25,1.841
2021,5,26,1.905
2021,5,27,2.427
2021,5,28,2.427
2021,5,29,2.512
2021,5,30,3.802
2021,5,31,3.802
2021,6,1,3.936
2021,6,2,3.428
2021,6,3,3.428
2021,6,4,2.427
2021,6,5,2.985
2021,6,6,3.673
2021,6,7,3.673
2021,6,8,3.802
2021,6,9,3.802
2021,6,10,6.383
2021,6,11,3.311
2021,6,12,2.786
2021,6,13,4.677
2021,6,14,4.217
2021,6,15,4.842
2021,6,16,4.677
2021,6,17,4.842
2021,6,18,4.677
2021,6,19,3.09
2021,6,20,2.427
2021,6,21,2.427
2021,6,22,2.265
2021,6,23,2.188
2021,6,24,2.6
2021,6,25,2.786
2021,6,26,2.6
2021,6,27,5.188
2021,6,28,5.37
2021,6,29,5.37
2021,6,30,5.754
2021,7,1,5.754
2021,7,2,5.012
2021,7,3,5.559
2021,7,4,5.188
2021,7,5,5.012
2021,7,6,3.09
2021,7,7,3.311
2021,7,8,4.519
2021,7,9,2.512
2021,7,10,2.786
2021,7,11,4.217
2021,7,12,4.842
2021,7,13,2.692
2021,7,14,3.673
2021,7,15,5.559
2021,7,16,5.957
2021,7,17,7.328
2021,7,18,5.37
2021,7,19,3.311
2021,7,20,1.603
2021,7,21,1.972
2021,7,22,2.692
2021,7,23,3.936
2021,7,24,4.842
2021,7,25,2.265
2021,7,26,2.692
2021,7,27,2.512
2021,7,28,2.6
2021,7,29,2.692
2021,7,30,3.673
2021,7,31,5.012
2021,8,1,6.166
2021,8,2,5.188
2021,8,3,6.166
2021,8,4,10
2021,8,5,4.842
2021,8,6,7.328
2021,8,7,9.661
2021,8,8,6.383
2021,8,9,7.852
2021,8,10,11.092
2021,8,11,14.125
2021,8,12,4.074
2021,8,13,4.217
2021,8,14,6.607
2021,8,15,7.586
2021,8,16,5.754
2021,8,17,5.559
2021,8,18,5.188
2021,8,19,5.559
2021,8,20,3.802
2021,8,21,4.677
2021,8,22,4.677
2021,8,23,4.217
2021,8,24,3.548
2021,8,25,3.548
2021,8,26,3.428
2021,8,27,2.786
2021,8,28,1.396
2021,8,29,1.603
2021,8,30,5.559
2021,8,31,3.09
2021,9,1,4.519
2021,9,2,2.786
2021,9,3,1.841
2021,9,4,2.786
2021,9,5,6.166
2021,9,6,6.607
2021,9,7,3.936
2021,9,8,5.188
2021,9,9,6.383
2021,9,10,6.166
2021,9,11,3.548
2021,9,12,5.37
2021,9,13,5.37
2021,9,14,7.079
2021,9,15,7.079
2021,9,16,2.884
2021,9,17,3.199
2021,9,18,3.09
2021,9,19,2.427
2021,9,20,3.311
2021,9,21,4.365
2021,9,22,4.217
2021,9,23,4.217
2021,9,24,3.673
2021,9,25,3.673
2021,9,26,4.365
2021,9,27,3.936
2021,9,28,3.673
2021,9,29,3.673
2021,9,30,3.936
2021,10,1,3.936
2021,10,2,3.802
2021,10,3,3.428
2021,10,4,3.548
2021,10,5,3.802
2021,10,6,1.445
2021,10,7,2.265
2021,10,8,3.199
2021,10,9,2.786
2021,10,10,2.985
2021,10,11,2.512
2021,10,12,3.311
2021,10,13,3.199
2021,10,14,3.548
2021,10,15,4.217
2021,10,16,3.802
2021,10,17,3.802
2021,10,18,6.839
2021,10,19,6.166
2021,10,20,6.166
2021,10,21,4.217
2021,10,22,4.074
2021,10,23,3.09
2021,10,24,2.692
2021,10,25,2.692
2021,10,26,2.786
2021,10,27,3.09
2021,10,28,2.985
2021,10,29,3.199
2021,10,30,3.199
2021,10,31,2.692
2021,11,1,2.692
2021,11,2,3.09
2021,11,3,3.311
2021,11,4,1.972
2021,11,5,2.113
2021,11,6,2.113
2021,11,7,2.692
2021,11,8,2.6
2021,11,9,3.548
2021,11,10,3.311
2021,11,11,3.311
2021,11,12,2.985
2021,11,13,2.884
2021,11,14,2.042
2021,11,15,2.042
2021,11,16,2.113
2021,11,17,2.113
2021,11,18,2.113
2021,11,19,2.344
2021,11,20,2.344
2021,11,21,5.37
2021,11,22,2.6
2021,11,23,1.718
2021,11,24,1.549
2021,11,25,1.972
2021,11,26,1.972
2021,11,27,1.603
2021,11,28,1.603
2021,11,29,1.841
2021,11,30,1.972
2021,12,1,3.548
2021,12,2,4.217
2021,12,3,4.074
2021,12,4,3.936
2021,12,5,2.692
2021,12,6,2.692
2021,12,7,2.188
2021,12,8,2.265
2021,12,9,1.972
2021,12,10,2.692
2021,12,11,1.905
2021,12,12,1.66
2021,12,13,1.175
2021,12,14,1.135
2021,12,15,1.549
2021,12,16,1.549
2021,12,17,1.972
2021,12,18,1.972
2021,12,19,1.905
2021,12,20,2.265
2021,12,21,2.113
2021,12,22,2.113
2021,12,23,2.188
2021,12,24,2.512
2021,12,25,2.512
2021,12,26,2.188
2021,12,27,2.188
2021,12,28,1.841
2021,12,29,1.841
2021,12,30,1.841
2021,12,31,2.344
2022,1,1,2.188
2022,1,2,2.188
2022,1,3,2.265
2022,1,4,2.985
2022,1,5,1.66
2022,1,6,1.396
2022,1,7,1.603
2022,1,8,1.603
2022,1,9,1.841
2022,1,10,2.188
2022,1,11,2.042
2022,1,12,2.188
2022,1,13,1.603
2022,1,14,1.396
2022,1,15,2.692
2022,1,16,2.692
2022,1,17,2.344
2022,1,18,2.188
2022,1,19,2.113
2022,1,20,3.673
2022,1,21,3.802
2022,1,22,1.905
2022,1,23,2.985
2022,1,24,2.985
2022,1,25,2.985
2022,1,26,2.786
2022,1,27,2.786
2022,1,28,5.012
2022,1,29,5.559
2022,1,30,4.519
2022,1,31,4.365
2022,2,1,5.37
2022,2,2,5.559
2022,2,3,5.559
2022,2,4,5.37
2022,2,5,3.673
2022,2,6,3.673
2022,2,7,2.985
2022,2,8,2.786
2022,2,9,3.09
2022,2,10,3.09
2022,2,11,1.972
2022,2,12,2.692
2022,2,13,3.199
2022,2,14,1.66
2022,2,15,1.972
2022,2,16,2.113
2022,2,17,2.265
2022,2,18,3.428
2022,2,19,3.673
2022,2,20,3.428
2022,2,21,3.428
2022,2,22,2.512
2022,2,23,2.692
2022,2,24,2.6
2022,2,25,3.673
2022,2,26,2.786
2022,2,27,2.692
2022,2,28,2.692
2022,3,1,2.692
2022,3,2,2.427
2022,3,3,2.344
2022,3,4,2.6
2022,3,5,2.427
2022,3,6,2.344
2022,3,7,2.692
2022,3,8,2.786
2022,3,9,2.786
2022,3,10,2.188
2022,3,11,2.265
2022,3,12,2.692
2022,3,13,2.512
2022,3,14,2.344
2022,3,15,2.188
2022,3,16,2.344
2022,3,17,1.905
2022,3,18,2.113
2022,3,19,2.6
2022,3,20,2.344
2022,3,21,2.113
2022,3,22,2.113
2022,3,23,2.265
2022,3,24,2.265
2022,3,25,1.905
2022,3,26,2.344
2022,3,27,2.344
2022,3,28,2.344
2022,3,29,3.199
2022,3,30,3.199
2022,3,31,3.199
2022,4,1,2.786
2022,4,2,2.786
2022,4,3,3.199
2022,4,4,3.199
2022,4,5,3.199
2022,4,6,3.199
2022,4,7,3.199
2022,4,8,2.6
2022,4,9,3.311
2022,4,10,3.802
2022,4,11,3.199
2022,4,12,3.199
2022,4,13,3.199
2022,4,14,2.985
2022,4,15,2.884
2022,4,16,3.428
2022,4,17,3.802
2022,4,18,3.428
2022,4,19,3.09
2022,4,20,2.786
2022,4,21,3.09
2022,4,22,3.311
2022,4,23,3.548
2022,4,24,3.548
2022,4,25,3.311
2022,4,26,3.936
2022,4,27,3.09
2022,4,28,4.365
2022,4,29,4.677
2022,4,30,4.519
2022,5,1,3.548
2022,5,2,3.936
2022,5,3,3.802
2022,5,4,3.936
2022,5,5,3.548
2022,5,6,4.074
2022,5,7,3.936
2022,5,8,4.842
2022,5,9,4.074
2022,5,10,4.074
2022,5,11,2.786
2022,5,12,4.365
2022,5,13,2.042
2022,5,14,3.311
2022,5,15,4.677
2022,5,16,3.09
2022,5,17,3.199
2022,5,18,2.042
2022,5,19,2.042
2022,5,20,2.042
2022,5,21,2.188
2022,5,22,2.985
2022,5,23,3.936
2022,5,24,3.311
2022,5,25,3.311
2022,5,26,3.09
2022,5,27,3.428
2022,5,28,5.559
2022,5,29,5.754
2022,5,30,4.519
2022,5,31,5.37
2023,1,1,2.512
2023,1,2,2.512
2023,1,3,1.905
2023,1,4,2.265
2023,1,5,1.496
2023,1,6,1.905
2023,1,7,1.905
2023,1,8,2.265
2023,1,9,1.778
2023,1,10,1.66
2023,1,11,2.188
2023,1,12,1.66
2023,1,13,1.718
2023,1,14,2.265
2023,1,15,2.427
2023,1,16,2.512
2023,1,17,5.37
2023,1,18,1.905
2023,1,19,3.199
2023,1,20,3.311
2023,1,21,2.344
2023,1,22,2.042
2023,1,23,2.042
2023,1,24,2.6
2023,1,25,3.199
2023,1,26,3.199
2023,1,27,3.199
2023,1,28,3.548
2023,1,29,5.754
2023,1,30,4.217
2023,1,31,1.718
2023,2,1,2.265
2023,2,2,4.365
2023,2,3,4.677
2023,2,4,3.311
2023,2,5,2.265
2023,2,6,3.199
2023,2,7,2.344
2023,2,8,2.692
2023,2,9,2.692
2023,2,10,1.905
2023,2,11,1.603
2023,2,12,1.66
2023,2,13,2.427
2023,2,14,2.427
2023,2,15,1.905
2023,2,16,1.905
2023,2,17,1.905
2023,2,18,3.09
2023,2,19,3.09
2023,2,20,2.985
2023,2,21,2.786
2023,2,22,3.09
2023,2,23,2.692
2023,2,24,2.692
2023,2,25,2.985
2023,2,26,2.786
2023,2,27,3.09
2023,2,28,3.428
2023,3,1,2.6
2023,3,2,2.692
2023,3,3,2.6
2023,3,4,3.199
2023,3,5,3.936
2023,3,6,3.428
2023,3,7,3.09
2023,3,8,3.673
2023,3,9,3.428
2023,3,10,3.311
2023,3,11,3.09
2023,3,12,3.09
2023,3,13,2.6
2023,3,14,2.786
2023,3,15,2.786
2023,3,16,2.786
2023,3,17,2.985
2023,3,18,3.09
2023,3,19,1.905
2023,3,20,1.905
2023,3,21,1.905
2023,3,22,2.042
2023,3,23,2.042
2023,3,24,2.6
2023,3,25,1.972
2023,3,26,2.884
2023,3,27,3.311
2023,3,28,3.673
2023,3,29,3.673
2023,3,30,3.673
2023,3,31,2.344
2023,4,1,2.344
2023,4,2,2.344
2023,4,3,2.786
2023,4,4,2.692
2023,4,5,3.936
2023,4,6,3.311
2023,4,7,3.936
2023,4,8,2.786
2023,4,9,2.985
2023,4,10,2.985
2023,4,11,2.884
2023,4,12,2.985
2023,4,13,3.936
2023,4,14,3.09
2023,4,15,3.09
2023,4,16,2.265
2023,4,17,1.603
2023,4,18,2.188
2023,4,19,2.113
2023,4,20,1.718
2023,4,21,1.841
2023,4,22,1.496
2023,4,23,1.549
2023,4,24,1.549
2023,4,25,2.344
2023,4,26,3.428
2023,4,27,2.985
2023,4,28,2.985
2023,4,29,2.985
2023,4,30,4.074
2023,5,1,3.673
2023,5,2,2.786
2023,5,3,2.6
2023,5,4,4.217
2023,5,5,3.802
2023,5,6,2.344
2023,5,7,2.344
2023,5,8,3.428
2023,5,9,3.428
2023,5,10,3.428
2023,5,11,6.383
2023,5,12,6.383
2023,5,13,10
2023,5,14,6.839
2023,5,15,3.548
2023,5,16,7.079
2023,5,17,6.383
2023,5,18,9.661
2023,5,19,13.646
2023,5,20,9.333
2023,5,21,8.128
2023,5,22,7.586
2023,5,23,9.016
2023,5,24,10.351
2023,5,25,19.275
2023,5,26,16.218
2023,5,27,14.622
2023,5,28,7.328
2023,5,29,16.218
2023,5,30,4.519
2023,5,31,8.71
2023,6,1,10.351
2023,6,2,9.661
2023,6,3,13.183
2023,6,4,3.802
2023,6,5,1.972
2023,6,6,3.199
2023,6,7,3.09
2023,6,8,2.985
2023,6,9,4.074
2023,6,10,3.673
2023,6,11,3.548
2023,6,12,3.311
2023,6,13,4.365
2023,6,14,6.166
2023,6,15,2.692
2023,6,16,3.09
2023,6,17,2.884
2023,6,18,2.692
2023,6,19,2.344
2023,6,20,3.548
2023,6,21,3.936
2023,6,22,5.559
2023,6,23,3.311
2023,6,24,3.311
2023,6,25,3.09
2023,6,26,2.884
2023,6,27,3.428
2023,6,28,3.548
2023,6,29,4.074
2023,6,30,3.936
2023,7,1,3.548
2023,7,2,3.548
2023,7,3,4.217
2023,7,4,2.985
2023,7,5,3.936
2023,7,6,2.786
2023,7,7,3.199
2023,7,8,2.512
2023,7,9,3.199
2023,7,10,2.6
2023,7,11,2.188
2023,7,12,2.344
2023,7,13,2.985
2023,7,14,2.265
2023,7,15,3.09
2023,7,16,3.936
2023,7,17,4.074
2023,7,18,3.673
2023,7,19,3.09
2023,7,20,3.802
2023,7,21,3.199
2023,7,22,3.199
2023,7,23,2.985
2023,7,24,2.512
2023,7,25,2.692
2023,7,26,2.884
2023,7,27,2.786
2023,7,28,2.786
2023,7,29,3.09
2023,7,30,2.427
2023,7,31,1.841
2023,8,1,2.188
2023,8,2,2.188
2023,8,3,2.884
2023,8,4,3.311
2023,8,5,4.365
2023,8,6,4.217
2023,8,7,2.692
2023,8,8,3.802
2023,8,9,3.199
2023,8,10,4.677
2023,8,11,5.37
2023,8,12,5.37
2023,8,13,3.548
2023,8,14,4.519
2023,8,15,3.428
2023,8,16,4.519
2023,8,17,2.512
2023,8,18,2.427
2023,8,19,5.559
2023,8,20,5.559
2023,8,21,4.365
2023,8,22,3.199
2023,8,23,3.548
2023,8,24,3.802
2023,8,25,1.972
2023,8,26,4.365
2023,8,27,4.217
2023,8,28,3.673
2023,8,29,3.548
2023,8,30,4.074
2023,8,31,4.217
